player_season_id,rank,similar_player_season_id,similarity
bundesliga_1fcheidenheim1846_niklasdorsch__2425,3,bundesliga_fcstpauli_ericsmith__2425,0.9781
bundesliga_1fcheidenheim1846_niklasdorsch__2425,4,premierleague_nottinghamforest_elliotanderson__2526,0.9777
bundesliga_1fcheidenheim1846_niklasdorsch__2425,5,bundesliga_wolfsburg_maximilianarnold__2324,0.9760
bundesliga_1fcheidenheim1846_niklasdorsch__2425,6,superlig_adanademirspor_tayfunaydogan__2425,0.9758
bundesliga_1fcheidenheim1846_niklasdorsch__2425,7,laliga_girona_aleixgarcia__2324,0.9742
bundesliga_1fcheidenheim1846_niklasdorsch__2425,8,superlig_kasimpasa_keremdemirbay__2526,0.9735
bundesliga_1fcheidenheim1846_niklasdorsch__2425,9,laliga_getafe_luismilla__2425,0.9729
bundesliga_1fcheidenheim1846_niklasdorsch__2425,10,premierleague_sheffieldunited_olivernorwood__2324,0.9726
bundesliga_1fcheidenheim1846_niklasdorsch__2526,1,ligue1_brest_jorischotard__2526,0.9860
bundesliga_1fcheidenheim1846_niklasdorsch__2526,2,superlig_besiktas_amirhadziahmetovic__2425,0.9851
bundesliga_1fcheidenheim1846_niklasdorsch__2526,3,seriea_cagliari_gianlucagaetano__2526,0.9835
bundesliga_1fcheidenheim1846_niklasdorsch__2526,4,superlig_ankaragucu_pedrinho__2324,0.9822
bundesliga_1fcheidenheim1846_niklasdorsch__2526,5,seriea_milan_lukamodric__2526,0.9808
bundesliga_1fcheidenheim1846_niklasdorsch__2526,6,ligue1_clermontfoot_johangastien__2324,0.9787
bundesliga_1fcheidenheim1846_niklasdorsch__2526,7,superlig_kayserispor_mehdibourabia__2324,0.9785
bundesliga_1fcheidenheim1846_niklasdorsch__2526,8,seriea_monza_alessandrobianco__2425,0.9783
bundesliga_1fcheidenheim1846_niklasdorsch__2526,9,bundesliga_hoffenheim_antonstach__2324,0.9764
bundesliga_1fcheidenheim1846_niklasdorsch__2526,10,premierleague_leedsunited_iliagruev__2526,0.9763
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,1,superlig_antalyaspor_gurayvural__2324,0.9930
